name,shape,nbits,ours_bit_density,bonsai_bit_density,ours_zero_scale_frac,bonsai_zero_scale_frac,ours_scale_mean,ours_scale_std,bonsai_scale_mean,bonsai_scale_std,ours_all0_group_frac,ours_all1_group_frac,bonsai_all0_group_frac,bonsai_all1_group_frac,fp16_weight_std,ours_deq_std,bonsai_deq_std,ours_rel_l2,bonsai_rel_l2,ours_cos_fp16,bonsai_cos_fp16
model.embed_tokens,151936x2048,311164928,0.5020662546157837,0.49851274490356445,0.0,0.0,0.17668764293193817,0.03400741517543793,0.054380763322114944,0.009902401827275753,0.0,0.0,0.0,0.0,0.03449771925806999,0.08806732296943665,0.02763737551867962,1.8818215131759644,0.5993607044219971,0.7786834239959717,0.8004792928695679
model.layers.0.mlp.down_proj,2048x6144,12582912,0.5001411437988281,0.5000421404838562,0.0,0.0,0.1774061918258667,0.0321943424642086,0.08728291094303131,0.013726084493100643,0.0,0.0,0.0,0.0,0.033225513994693756,0.08740152418613434,0.04417779669165611,1.9789992570877075,1.1038978099822998,0.7609387636184692,0.582618236541748
model.layers.0.mlp.gate_proj,6144x2048,12582912,0.49873417615890503,0.5021885633468628,0.0,0.0,0.20280560851097107,0.04559086635708809,0.1186470240354538,0.01386396586894989,0.0,0.0,0.0,0.0,0.038544826209545135,0.10067004710435867,0.05972657725214958,1.9604592323303223,1.3802396059036255,0.7615103125572205,0.4827188551425934
model.layers.0.mlp.up_proj,6144x2048,12582912,0.5004377365112305,0.5001129508018494,0.0,0.0,0.16694208979606628,0.02341146022081375,0.11327799409627914,0.011740904301404953,0.0,0.0,0.0,0.0,0.031430114060640335,0.08204410970211029,0.0569424033164978,1.9546865224838257,1.6096903085708618,0.7648768424987793,0.46674251556396484
model.layers.0.self_attn.k_proj,1024x2048,2097152,0.500551700592041,0.5004510879516602,0.0,0.0,0.1858077049255371,0.0522313266992569,0.07762467861175537,0.024084290489554405,0.0,0.0,0.0,0.0,0.03577142581343651,0.09362863749265671,0.0406375452876091,1.9623852968215942,1.0689549446105957,0.7640979886054993,0.5052263140678406
model.layers.0.self_attn.o_proj,2048x2048,4194304,0.5011649131774902,0.4999856948852539,0.0,0.0,0.16316670179367065,0.05010935291647911,0.09046278893947601,0.03297344595193863,0.0,0.0,0.0,0.0,0.0323738269507885,0.08336996287107468,0.04814240708947182,1.9114981889724731,1.1760668754577637,0.7723557949066162,0.6147180795669556
model.layers.0.self_attn.q_proj,2048x2048,4194304,0.4999403953552246,0.49977564811706543,0.0,0.0,0.1862889677286148,0.0562129020690918,0.07597970217466354,0.02085905894637108,0.0,0.0,0.0,0.0,0.035170070827007294,0.09323761612176895,0.03939547389745712,2.0136959552764893,1.0717599391937256,0.7493439316749573,0.49370938539505005
model.layers.0.self_attn.v_proj,1024x2048,2097152,0.49869585037231445,0.5006227493286133,0.0,0.0,0.17872217297554016,0.02640422061085701,0.15916255116462708,0.019656572490930557,0.0,0.0,0.0,0.0,0.03354767709970474,0.08792953938245773,0.08018581569194794,1.9644321203231812,1.9189867973327637,0.7651217579841614,0.6339560151100159
model.layers.1.mlp.down_proj,2048x6144,12582912,0.5008181929588318,0.49996671080589294,0.0,0.0,0.16508795320987701,0.034759484231472015,0.07527022063732147,0.011335857212543488,0.0,0.0,0.0,0.0,0.029079684987664223,0.08021832257509232,0.03805951774120331,2.1496474742889404,1.1326504945755005,0.7229707837104797,0.5463255047798157
model.layers.1.mlp.gate_proj,6144x2048,12582912,0.5043584108352661,0.5011336207389832,0.0,0.0,0.23223690688610077,0.05539382994174957,0.11889123916625977,0.038328781723976135,0.0,0.0,0.0,0.0,0.04482397437095642,0.11578379571437836,0.06245831027626991,1.9237446784973145,1.2100114822387695,0.7687947750091553,0.5301634669303894
